VTX, IDX, in_Position0.x, in_Position0.y, in_Position0.z, in_Texcoord0.x, in_Texcoord0.y, in_Color0.x, in_Color0.y, in_Color0.z, in_Color0.w
18, 10593,  23166.53516,  24805.30469,  0.00,  0.86957,  1.00,  0.00392,  0.00392,  0.00392,  1.00
19, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
20, 10594,  15615.06641,  30135.71289,  0.00,  0.82609,  1.00,  0.00392,  0.00392,  0.00392,  1.00
21, 10593,  23166.53516,  24805.30469,  0.00,  0.86957,  1.00,  0.00392,  0.00392,  0.00392,  1.00
22, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
23, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
24, 10594,  15615.06641,  30135.71289,  0.00,  0.82609,  1.00,  0.00392,  0.00392,  0.00392,  1.00
25, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
26, 10595,  6905.50146,  33231.09375,  0.00,  0.78261,  1.00,  0.00392,  0.00392,  0.00392,  1.00
27, 10594,  15615.06641,  30135.71289,  0.00,  0.82609,  1.00,  0.00392,  0.00392,  0.00392,  1.00
28, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
29, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
30, 10595,  6905.50146,  33231.09375,  0.00,  0.78261,  1.00,  0.00392,  0.00392,  0.00392,  1.00
31, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
32, 10596, -2316.2168,  33861.875,  0.00,  0.73913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
33, 10595,  6905.50146,  33231.09375,  0.00,  0.78261,  1.00,  0.00392,  0.00392,  0.00392,  1.00
34, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
35, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
36, 10596, -2316.2168,  33861.875,  0.00,  0.73913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
37, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
38, 10597, -11366.14746,  31981.27734,  0.00,  0.69565,  1.00,  0.00392,  0.00392,  0.00392,  1.00
39, 10596, -2316.2168,  33861.875,  0.00,  0.73913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
40, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
41, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
42, 10597, -11366.14746,  31981.27734,  0.00,  0.69565,  1.00,  0.00392,  0.00392,  0.00392,  1.00
43, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
44, 10598, -19573.10742,  27728.77344,  0.00,  0.65217,  1.00,  0.00392,  0.00392,  0.00392,  1.00
45, 10597, -11366.14746,  31981.27734,  0.00,  0.69565,  1.00,  0.00392,  0.00392,  0.00392,  1.00
46, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
47, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
48, 10598, -19573.10742,  27728.77344,  0.00,  0.65217,  1.00,  0.00392,  0.00392,  0.00392,  1.00
49, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
50, 10599, -26328.41797,  21419.75586,  0.00,  0.6087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
51, 10598, -19573.10742,  27728.77344,  0.00,  0.65217,  1.00,  0.00392,  0.00392,  0.00392,  1.00
52, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
53, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
54, 10599, -26328.41797,  21419.75586,  0.00,  0.6087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
55, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
56, 10600, -31131.06836,  13522.13281,  0.00,  0.56522,  1.00,  0.00392,  0.00392,  0.00392,  1.00
57, 10599, -26328.41797,  21419.75586,  0.00,  0.6087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
58, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
59, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
60, 10600, -31131.06836,  13522.13281,  0.00,  0.56522,  1.00,  0.00392,  0.00392,  0.00392,  1.00
61, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
62, 10601, -33624.87109,  4621.62842,  0.00,  0.52174,  1.00,  0.00392,  0.00392,  0.00392,  1.00
63, 10600, -31131.06836,  13522.13281,  0.00,  0.56522,  1.00,  0.00392,  0.00392,  0.00392,  1.00
64, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
65, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
66, 10601, -33624.87109,  4621.62842,  0.00,  0.52174,  1.00,  0.00392,  0.00392,  0.00392,  1.00
67, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
68, 10602, -33624.87109, -4621.63428,  0.00,  0.47826,  1.00,  0.00392,  0.00392,  0.00392,  1.00
69, 10601, -33624.87109,  4621.62842,  0.00,  0.52174,  1.00,  0.00392,  0.00392,  0.00392,  1.00
70, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
71, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
72, 10602, -33624.87109, -4621.63428,  0.00,  0.47826,  1.00,  0.00392,  0.00392,  0.00392,  1.00
73, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
74, 10603, -31131.06836, -13522.13086,  0.00,  0.43478,  1.00,  0.00392,  0.00392,  0.00392,  1.00
75, 10602, -33624.87109, -4621.63428,  0.00,  0.47826,  1.00,  0.00392,  0.00392,  0.00392,  1.00
76, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
77, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
78, 10603, -31131.06836, -13522.13086,  0.00,  0.43478,  1.00,  0.00392,  0.00392,  0.00392,  1.00
79, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
80, 10604, -26328.41797, -21419.75391,  0.00,  0.3913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
81, 10603, -31131.06836, -13522.13086,  0.00,  0.43478,  1.00,  0.00392,  0.00392,  0.00392,  1.00
82, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
83, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
84, 10604, -26328.41797, -21419.75391,  0.00,  0.3913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
85, 10629, -19573.10156, -27728.7793, -1060.65625,  0.34783,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
86, 10605, -19573.10156, -27728.7793,  0.00,  0.34783,  1.00,  0.00392,  0.00392,  0.00392,  1.00
87, 10604, -26328.41797, -21419.75391,  0.00,  0.3913,  1.00,  0.00392,  0.00392,  0.00392,  1.00
88, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
89, 10629, -19573.10156, -27728.7793, -1060.65625,  0.34783,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
90, 10605, -19573.10156, -27728.7793,  0.00,  0.34783,  1.00,  0.00392,  0.00392,  0.00392,  1.00
91, 10630, -11366.14648, -31981.27734, -1060.65625,  0.30435,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
92, 10606, -11366.14648, -31981.27734,  0.00,  0.30435,  1.00,  0.00392,  0.00392,  0.00392,  1.00
93, 10605, -19573.10156, -27728.7793,  0.00,  0.34783,  1.00,  0.00392,  0.00392,  0.00392,  1.00
94, 10629, -19573.10156, -27728.7793, -1060.65625,  0.34783,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
95, 10630, -11366.14648, -31981.27734, -1060.65625,  0.30435,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
96, 10606, -11366.14648, -31981.27734,  0.00,  0.30435,  1.00,  0.00392,  0.00392,  0.00392,  1.00
97, 10631, -2316.21484, -33861.875, -1060.65625,  0.26087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
98, 10607, -2316.21484, -33861.875,  0.00,  0.26087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
99, 10606, -11366.14648, -31981.27734,  0.00,  0.30435,  1.00,  0.00392,  0.00392,  0.00392,  1.00
100, 10630, -11366.14648, -31981.27734, -1060.65625,  0.30435,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
101, 10631, -2316.21484, -33861.875, -1060.65625,  0.26087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
102, 10607, -2316.21484, -33861.875,  0.00,  0.26087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
103, 10632,  6905.49951, -33231.09375, -1060.65625,  0.21739,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
104, 10608,  6905.49951, -33231.09375,  0.00,  0.21739,  1.00,  0.00392,  0.00392,  0.00392,  1.00
105, 10607, -2316.21484, -33861.875,  0.00,  0.26087,  1.00,  0.00392,  0.00392,  0.00392,  1.00
106, 10631, -2316.21484, -33861.875, -1060.65625,  0.26087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
107, 10632,  6905.49951, -33231.09375, -1060.65625,  0.21739,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
108, 10608,  6905.49951, -33231.09375,  0.00,  0.21739,  1.00,  0.00392,  0.00392,  0.00392,  1.00
109, 10633,  15615.06543, -30135.71484, -1060.65625,  0.17391,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
110, 10609,  15615.06543, -30135.71484,  0.00,  0.17391,  1.00,  0.00392,  0.00392,  0.00392,  1.00
111, 10608,  6905.49951, -33231.09375,  0.00,  0.21739,  1.00,  0.00392,  0.00392,  0.00392,  1.00
112, 10632,  6905.49951, -33231.09375, -1060.65625,  0.21739,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
113, 10633,  15615.06543, -30135.71484, -1060.65625,  0.17391,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
114, 10609,  15615.06543, -30135.71484,  0.00,  0.17391,  1.00,  0.00392,  0.00392,  0.00392,  1.00
115, 10634,  23166.5332, -24805.30664, -1060.65625,  0.13043,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
116, 10610,  23166.5332, -24805.30664,  0.00,  0.13043,  1.00,  0.00392,  0.00392,  0.00392,  1.00
117, 10609,  15615.06543, -30135.71484,  0.00,  0.17391,  1.00,  0.00392,  0.00392,  0.00392,  1.00
118, 10633,  15615.06543, -30135.71484, -1060.65625,  0.17391,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
119, 10634,  23166.5332, -24805.30664, -1060.65625,  0.13043,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
120, 10610,  23166.5332, -24805.30664,  0.00,  0.13043,  1.00,  0.00392,  0.00392,  0.00392,  1.00
121, 10635,  28999.85352, -17635.19141, -1060.65625,  0.08696,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
122, 10611,  28999.85352, -17635.19141,  0.00,  0.08696,  1.00,  0.00392,  0.00392,  0.00392,  1.00
123, 10610,  23166.5332, -24805.30664,  0.00,  0.13043,  1.00,  0.00392,  0.00392,  0.00392,  1.00
124, 10634,  23166.5332, -24805.30664, -1060.65625,  0.13043,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
125, 10635,  28999.85352, -17635.19141, -1060.65625,  0.08696,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
126, 10611,  28999.85352, -17635.19141,  0.00,  0.08696,  1.00,  0.00392,  0.00392,  0.00392,  1.00
127, 10636,  32682.37695, -9157.16504, -1060.65625,  0.04348,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
128, 10612,  32682.37695, -9157.16504,  0.00,  0.04348,  1.00,  0.00392,  0.00392,  0.00392,  1.00
129, 10611,  28999.85352, -17635.19141,  0.00,  0.08696,  1.00,  0.00392,  0.00392,  0.00392,  1.00
130, 10635,  28999.85352, -17635.19141, -1060.65625,  0.08696,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
131, 10636,  32682.37695, -9157.16504, -1060.65625,  0.04348,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
132, 10612,  32682.37695, -9157.16504,  0.00,  0.04348,  1.00,  0.00392,  0.00392,  0.00392,  1.00
133, 10637,  33941.00,  0.00593, -1060.65625,  0.00,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
134, 10613,  33941.00,  0.00593,  0.00,  0.00,  1.00,  0.00392,  0.00392,  0.00392,  1.00
135, 10612,  32682.37695, -9157.16504,  0.00,  0.04348,  1.00,  0.00392,  0.00392,  0.00392,  1.00
136, 10636,  32682.37695, -9157.16504, -1060.65625,  0.04348,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
137, 10637,  33941.00,  0.00593, -1060.65625,  0.00,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
138, 10614,  33941.00,  0.00, -1060.65625,  1.00,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
139, 10639,  32682.375,  9157.17285, -2121.3125,  0.95652,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
140, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
141, 10614,  33941.00,  0.00, -1060.65625,  1.00,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
142, 10638,  33941.00,  0.00, -2121.3125,  1.00,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
143, 10639,  32682.375,  9157.17285, -2121.3125,  0.95652,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
144, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
145, 10640,  28999.84961,  17635.19922, -2121.3125,  0.91304,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
146, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
147, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
148, 10639,  32682.375,  9157.17285, -2121.3125,  0.95652,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
149, 10640,  28999.84961,  17635.19922, -2121.3125,  0.91304,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
150, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
151, 10641,  23166.53516,  24805.30469, -2121.3125,  0.86957,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
152, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
153, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
154, 10640,  28999.84961,  17635.19922, -2121.3125,  0.91304,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
155, 10641,  23166.53516,  24805.30469, -2121.3125,  0.86957,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
156, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
157, 10642,  15615.06641,  30135.71289, -2121.3125,  0.82609,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
158, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
159, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
160, 10641,  23166.53516,  24805.30469, -2121.3125,  0.86957,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
161, 10642,  15615.06641,  30135.71289, -2121.3125,  0.82609,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
162, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
163, 10643,  6905.50146,  33231.09375, -2121.3125,  0.78261,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
164, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
165, 10618,  15615.06641,  30135.71289, -1060.65625,  0.82609,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
166, 10642,  15615.06641,  30135.71289, -2121.3125,  0.82609,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
167, 10643,  6905.50146,  33231.09375, -2121.3125,  0.78261,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
168, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
169, 10644, -2316.2168,  33861.875, -2121.3125,  0.73913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
170, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
171, 10619,  6905.50146,  33231.09375, -1060.65625,  0.78261,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
172, 10643,  6905.50146,  33231.09375, -2121.3125,  0.78261,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
173, 10644, -2316.2168,  33861.875, -2121.3125,  0.73913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
174, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
175, 10645, -11366.14746,  31981.27734, -2121.3125,  0.69565,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
176, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
177, 10620, -2316.2168,  33861.875, -1060.65625,  0.73913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
178, 10644, -2316.2168,  33861.875, -2121.3125,  0.73913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
179, 10645, -11366.14746,  31981.27734, -2121.3125,  0.69565,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
180, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
181, 10646, -19573.10742,  27728.77344, -2121.3125,  0.65217,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
182, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
183, 10621, -11366.14746,  31981.27734, -1060.65625,  0.69565,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
184, 10645, -11366.14746,  31981.27734, -2121.3125,  0.69565,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
185, 10646, -19573.10742,  27728.77344, -2121.3125,  0.65217,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
186, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
187, 10647, -26328.41797,  21419.75586, -2121.3125,  0.6087,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
188, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
189, 10622, -19573.10742,  27728.77344, -1060.65625,  0.65217,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
190, 10646, -19573.10742,  27728.77344, -2121.3125,  0.65217,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
191, 10647, -26328.41797,  21419.75586, -2121.3125,  0.6087,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
192, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
193, 10648, -31131.06836,  13522.13281, -2121.3125,  0.56522,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
194, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
195, 10623, -26328.41797,  21419.75586, -1060.65625,  0.6087,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
196, 10647, -26328.41797,  21419.75586, -2121.3125,  0.6087,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
197, 10648, -31131.06836,  13522.13281, -2121.3125,  0.56522,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
198, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
199, 10649, -33624.87109,  4621.62842, -2121.3125,  0.52174,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
200, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
201, 10624, -31131.06836,  13522.13281, -1060.65625,  0.56522,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
202, 10648, -31131.06836,  13522.13281, -2121.3125,  0.56522,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
203, 10649, -33624.87109,  4621.62842, -2121.3125,  0.52174,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
204, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
205, 10650, -33624.87109, -4621.63428, -2121.3125,  0.47826,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
206, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
207, 10625, -33624.87109,  4621.62842, -1060.65625,  0.52174,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
208, 10649, -33624.87109,  4621.62842, -2121.3125,  0.52174,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
209, 10650, -33624.87109, -4621.63428, -2121.3125,  0.47826,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
210, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
211, 10651, -31131.06836, -13522.13086, -2121.3125,  0.43478,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
212, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
213, 10626, -33624.87109, -4621.63428, -1060.65625,  0.47826,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
214, 10650, -33624.87109, -4621.63428, -2121.3125,  0.47826,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
215, 10651, -31131.06836, -13522.13086, -2121.3125,  0.43478,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
216, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
217, 10652, -26328.41797, -21419.75391, -2121.3125,  0.3913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
218, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
219, 10627, -31131.06836, -13522.13086, -1060.65625,  0.43478,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
220, 10651, -31131.06836, -13522.13086, -2121.3125,  0.43478,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
221, 10652, -26328.41797, -21419.75391, -2121.3125,  0.3913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
222, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
223, 10653, -19573.10156, -27728.7793, -2121.3125,  0.34783,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
224, 10629, -19573.10156, -27728.7793, -1060.65625,  0.34783,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
225, 10628, -26328.41797, -21419.75391, -1060.65625,  0.3913,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
226, 10652, -26328.41797, -21419.75391, -2121.3125,  0.3913,  0.9375,  0.00392,  0.00392,  0.00392,  1.00
